business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,yelp_url,scraped_date,search_query,search_location
Blue Moon Bistro #6,(654) 358-7801,hello1@bluemoonbistro.com,"5458 Maple Avenue, New York, NY",https://bluemoonbistro.com,French Restaurant,4.0,744,$$$,Central District,Mon-Sat: 8AM-8PM,Professional french restaurant serving New York and surrounding areas,https://yelp.com/biz/blue-moon-bistro-6,2025-09-10 02:21:35,restaurants,"New York, NY"
Spice Garden #6,(581) 881-2223,hello@spicegarden.com,"2151 Elm Street, New York, NY",https://spicegarden.com,Indian Restaurant,3.6,558,$$$,Uptown,Tue-Sat: 9AM-7PM,Professional indian restaurant serving New York and surrounding areas,https://yelp.com/biz/spice-garden-6,2025-09-10 02:21:35,restaurants,"New York, NY"
Corner Deli #6,(338) 843-3898,info@cornerdeli.com,"9778 Center Street, New York, NY",https://cornerdeli.com,Deli,3.5,250,$$$$,North End,Mon-Sun: 24/7,Professional deli serving New York and surrounding areas,https://yelp.com/biz/corner-deli-6,2025-09-10 02:21:35,restaurants,"New York, NY"
Pizza Corner #6,(285) 593-9800,info1@pizzacorner.com,"9843 Lincoln Avenue, New York, NY",https://pizzacorner.com,Pizza Restaurant,4.0,684,$$$$,Central District,Mon-Fri: 9AM-6PM,Professional pizza restaurant serving New York and surrounding areas,https://yelp.com/biz/pizza-corner-6,2025-09-10 02:21:35,restaurants,"New York, NY"
Sunrise Cafe #6,(773) 833-9863,contact1@sunrisecafe.com,"8629 Madison Street, New York, NY",https://sunrisecafe.com,Cafe,4.5,747,$$$$,East Side,Daily: 10AM-10PM,Professional cafe serving New York and surrounding areas,https://yelp.com/biz/sunrise-cafe-6,2025-09-10 02:21:35,restaurants,"New York, NY"
Ocean View Seafood #6,(870) 281-3712,info1@oceanviewseafood.com,"1157 Washington Street, New York, NY",https://oceanviewseafood.com,Seafood Restaurant,4.4,332,$$$$,West Side,Mon-Sun: 24/7,Professional seafood restaurant serving New York and surrounding areas,https://yelp.com/biz/ocean-view-seafood-6,2025-09-10 02:21:35,restaurants,"New York, NY"
Mountain Steakhouse #6,(825) 928-4307,support1@mountainsteakhouse.com,"9633 Lincoln Avenue, New York, NY",https://mountainsteakhouse.com,Steakhouse,4.1,538,$$$,Downtown,Daily: 10AM-10PM,Professional steakhouse serving New York and surrounding areas,https://yelp.com/biz/mountain-steakhouse-6,2025-09-10 02:21:35,restaurants,"New York, NY"
Green Garden #6,(963) 441-8581,office@greengarden.com,"5261 Jefferson Drive, New York, NY",https://greengarden.com,Vegetarian Restaurant,4.1,129,$$$$,Central District,Mon-Sat: 8AM-8PM,Professional vegetarian restaurant serving New York and surrounding areas,https://yelp.com/biz/green-garden-6,2025-09-10 02:21:35,restaurants,"New York, NY"
Downtown Diner #6,(504) 699-4423,support2@downtowndiner.com,"3257 Main Street, New York, NY",https://downtowndiner.com,American Diner,4.5,192,$$$$,South District,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional american diner serving New York and surrounding areas,https://yelp.com/biz/downtown-diner-6,2025-09-10 02:21:35,restaurants,"New York, NY"
Bella Vista New York - Branch 5,(231) 217-5182,contact3@bellavista.com,"3367 Kennedy Street, New York, NY",https://bellavista.com,Italian Restaurant,4.8,322,$$,Central District,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional italian restaurant serving New York and surrounding areas,https://yelp.com/biz/bella-vista-new-york---5,2025-09-10 02:21:35,restaurants,"New York, NY"
Golden Dragon #7,(569) 803-9282,support@goldendragon.com,"990 Business Boulevard, New York, NY",https://goldendragon.com,Chinese Restaurant,3.9,674,$$$,Midtown,Tue-Sat: 9AM-7PM,Professional chinese restaurant serving New York and surrounding areas,https://yelp.com/biz/golden-dragon-7,2025-09-10 02:21:35,restaurants,"New York, NY"
The Local Burger #7,(554) 807-2589,office2@localburger.com,"1043 First Avenue, New York, NY",https://localburger.com,American Restaurant,3.8,680,$$$,Uptown,Mon-Fri: 9AM-6PM,Professional american restaurant serving New York and surrounding areas,https://yelp.com/biz/the-local-burger-7,2025-09-10 02:21:35,restaurants,"New York, NY"
Sakura Sushi #7,(947) 501-8956,contact@sakurasushi.com,"6172 Wilson Avenue, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.2,361,$$$,Downtown,Mon-Fri: 9AM-6PM,Professional japanese restaurant serving New York and surrounding areas,https://yelp.com/biz/sakura-sushi-7,2025-09-10 02:21:35,restaurants,"New York, NY"
Mediterranean Grill #7,(231) 268-4354,info@mediterraneangrill.com,"6503 Business Boulevard, New York, NY",https://mediterraneangrill.com,Mediterranean Restaurant,4.9,434,$$,Midtown,Mon-Fri: 9AM-6PM,Professional mediterranean restaurant serving New York and surrounding areas,https://yelp.com/biz/mediterranean-grill-7,2025-09-10 02:21:35,restaurants,"New York, NY"
Taco Fiesta #7,(670) 237-1124,hello1@tacofiesta.com,"5935 Kennedy Street, New York, NY",https://tacofiesta.com,Mexican Restaurant,4.4,564,$$,North End,Tue-Sat: 9AM-7PM,Professional mexican restaurant serving New York and surrounding areas,https://yelp.com/biz/taco-fiesta-7,2025-09-10 02:21:35,restaurants,"New York, NY"
Blue Moon Bistro #7,(924) 565-3669,contact1@bluemoonbistro.com,"1917 Pine Street, New York, NY",https://bluemoonbistro.com,French Restaurant,4.4,761,$$$$,East Side,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional french restaurant serving New York and surrounding areas,https://yelp.com/biz/blue-moon-bistro-7,2025-09-10 02:21:35,restaurants,"New York, NY"
Spice Garden #7,(982) 937-7184,contact@spicegarden.com,"5836 Main Street, New York, NY",https://spicegarden.com,Indian Restaurant,4.2,684,$$$,Downtown,Daily: 10AM-10PM,Professional indian restaurant serving New York and surrounding areas,https://yelp.com/biz/spice-garden-7,2025-09-10 02:21:35,restaurants,"New York, NY"
Corner Deli #7,(709) 608-8906,support1@cornerdeli.com,"9205 Roosevelt Avenue, New York, NY",https://cornerdeli.com,Deli,4.8,652,$$$,Uptown,Mon-Sat: 8AM-8PM,Professional deli serving New York and surrounding areas,https://yelp.com/biz/corner-deli-7,2025-09-10 02:21:35,restaurants,"New York, NY"
Pizza Corner #7,(435) 352-5648,hello1@pizzacorner.com,"1333 Center Street, New York, NY",https://pizzacorner.com,Pizza Restaurant,3.5,162,$,West Side,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional pizza restaurant serving New York and surrounding areas,https://yelp.com/biz/pizza-corner-7,2025-09-10 02:21:35,restaurants,"New York, NY"
